block_cnt,trial_cnt,task,feedback,blockName,blockType,blockCondition,stimulus,correctResponse,switch
0,0,odd-even,yes,practicePureFeedOE,practice,pure,2,305,nonSwitch
0,1,odd-even,yes,practicePureFeedOE,practice,pure,1,306,nonSwitch
0,2,odd-even,yes,practicePureFeedOE,practice,pure,8,305,nonSwitch
0,3,odd-even,yes,practicePureFeedOE,practice,pure,4,305,nonSwitch
0,4,odd-even,yes,practicePureFeedOE,practice,pure,3,306,nonSwitch
0,5,odd-even,yes,practicePureFeedOE,practice,pure,1,306,nonSwitch
0,6,odd-even,yes,practicePureFeedOE,practice,pure,8,305,nonSwitch
0,7,odd-even,yes,practicePureFeedOE,practice,pure,4,305,nonSwitch
1,0,odd-even,no,practicePureNoFeedOE,practice,pure,9,306,nonSwitch
1,1,odd-even,no,practicePureNoFeedOE,practice,pure,7,306,nonSwitch
1,2,odd-even,no,practicePureNoFeedOE,practice,pure,1,306,nonSwitch
1,3,odd-even,no,practicePureNoFeedOE,practice,pure,6,305,nonSwitch
1,4,odd-even,no,practicePureNoFeedOE,practice,pure,2,305,nonSwitch
1,5,odd-even,no,practicePureNoFeedOE,practice,pure,3,306,nonSwitch
1,6,odd-even,no,practicePureNoFeedOE,practice,pure,8,305,nonSwitch
1,7,odd-even,no,practicePureNoFeedOE,practice,pure,6,305,nonSwitch
1,8,odd-even,no,practicePureNoFeedOE,practice,pure,3,306,nonSwitch
1,9,odd-even,no,practicePureNoFeedOE,practice,pure,9,306,nonSwitch
1,10,odd-even,no,practicePureNoFeedOE,practice,pure,1,306,nonSwitch
1,11,odd-even,no,practicePureNoFeedOE,practice,pure,6,305,nonSwitch
1,12,odd-even,no,practicePureNoFeedOE,practice,pure,7,306,nonSwitch
1,13,odd-even,no,practicePureNoFeedOE,practice,pure,1,306,nonSwitch
1,14,odd-even,no,practicePureNoFeedOE,practice,pure,6,305,nonSwitch
1,15,odd-even,no,practicePureNoFeedOE,practice,pure,9,306,nonSwitch
2,0,odd-even,no,testPureOE,test,pure,2,305,nonSwitch
2,1,odd-even,no,testPureOE,test,pure,4,305,nonSwitch
2,2,odd-even,no,testPureOE,test,pure,8,305,nonSwitch
2,3,odd-even,no,testPureOE,test,pure,7,306,nonSwitch
2,4,odd-even,no,testPureOE,test,pure,2,305,nonSwitch
2,5,odd-even,no,testPureOE,test,pure,4,305,nonSwitch
2,6,odd-even,no,testPureOE,test,pure,8,305,nonSwitch
2,7,odd-even,no,testPureOE,test,pure,9,306,nonSwitch
2,8,odd-even,no,testPureOE,test,pure,2,305,nonSwitch
2,9,odd-even,no,testPureOE,test,pure,7,306,nonSwitch
2,10,odd-even,no,testPureOE,test,pure,9,306,nonSwitch
2,11,odd-even,no,testPureOE,test,pure,6,305,nonSwitch
2,12,odd-even,no,testPureOE,test,pure,4,305,nonSwitch
2,13,odd-even,no,testPureOE,test,pure,1,306,nonSwitch
2,14,odd-even,no,testPureOE,test,pure,6,305,nonSwitch
2,15,odd-even,no,testPureOE,test,pure,4,305,nonSwitch
2,16,odd-even,no,testPureOE,test,pure,3,306,nonSwitch
2,17,odd-even,no,testPureOE,test,pure,6,305,nonSwitch
2,18,odd-even,no,testPureOE,test,pure,1,306,nonSwitch
2,19,odd-even,no,testPureOE,test,pure,2,305,nonSwitch
2,20,odd-even,no,testPureOE,test,pure,6,305,nonSwitch
2,21,odd-even,no,testPureOE,test,pure,3,306,nonSwitch
2,22,odd-even,no,testPureOE,test,pure,4,305,nonSwitch
2,23,odd-even,no,testPureOE,test,pure,2,305,nonSwitch
2,24,odd-even,no,testPureOE,test,pure,7,306,nonSwitch
2,25,odd-even,no,testPureOE,test,pure,8,305,nonSwitch
2,26,odd-even,no,testPureOE,test,pure,1,306,nonSwitch
2,27,odd-even,no,testPureOE,test,pure,9,306,nonSwitch
2,28,odd-even,no,testPureOE,test,pure,6,305,nonSwitch
2,29,odd-even,no,testPureOE,test,pure,1,306,nonSwitch
2,30,odd-even,no,testPureOE,test,pure,4,305,nonSwitch
2,31,odd-even,no,testPureOE,test,pure,3,306,nonSwitch
3,0,high-low,yes,practicePureFeedHL,practice,pure,2,306,nonSwitch
3,1,high-low,yes,practicePureFeedHL,practice,pure,8,305,nonSwitch
3,2,high-low,yes,practicePureFeedHL,practice,pure,1,306,nonSwitch
3,3,high-low,yes,practicePureFeedHL,practice,pure,6,305,nonSwitch
3,4,high-low,yes,practicePureFeedHL,practice,pure,7,305,nonSwitch
3,5,high-low,yes,practicePureFeedHL,practice,pure,9,305,nonSwitch
3,6,high-low,yes,practicePureFeedHL,practice,pure,1,306,nonSwitch
3,7,high-low,yes,practicePureFeedHL,practice,pure,2,306,nonSwitch
4,0,high-low,no,practicePureNoFeedHL,practice,pure,3,306,nonSwitch
4,1,high-low,no,practicePureNoFeedHL,practice,pure,7,305,nonSwitch
4,2,high-low,no,practicePureNoFeedHL,practice,pure,9,305,nonSwitch
4,3,high-low,no,practicePureNoFeedHL,practice,pure,8,305,nonSwitch
4,4,high-low,no,practicePureNoFeedHL,practice,pure,4,306,nonSwitch
4,5,high-low,no,practicePureNoFeedHL,practice,pure,3,306,nonSwitch
4,6,high-low,no,practicePureNoFeedHL,practice,pure,9,305,nonSwitch
4,7,high-low,no,practicePureNoFeedHL,practice,pure,8,305,nonSwitch
4,8,high-low,no,practicePureNoFeedHL,practice,pure,1,306,nonSwitch
4,9,high-low,no,practicePureNoFeedHL,practice,pure,7,305,nonSwitch
4,10,high-low,no,practicePureNoFeedHL,practice,pure,3,306,nonSwitch
4,11,high-low,no,practicePureNoFeedHL,practice,pure,6,305,nonSwitch
4,12,high-low,no,practicePureNoFeedHL,practice,pure,4,306,nonSwitch
4,13,high-low,no,practicePureNoFeedHL,practice,pure,9,305,nonSwitch
4,14,high-low,no,practicePureNoFeedHL,practice,pure,2,306,nonSwitch
4,15,high-low,no,practicePureNoFeedHL,practice,pure,8,305,nonSwitch
5,0,high-low,no,testPureHL,test,pure,9,305,nonSwitch
5,1,high-low,no,testPureHL,test,pure,2,306,nonSwitch
5,2,high-low,no,testPureHL,test,pure,4,306,nonSwitch
5,3,high-low,no,testPureHL,test,pure,8,305,nonSwitch
5,4,high-low,no,testPureHL,test,pure,1,306,nonSwitch
5,5,high-low,no,testPureHL,test,pure,2,306,nonSwitch
5,6,high-low,no,testPureHL,test,pure,6,305,nonSwitch
5,7,high-low,no,testPureHL,test,pure,1,306,nonSwitch
5,8,high-low,no,testPureHL,test,pure,9,305,nonSwitch
5,9,high-low,no,testPureHL,test,pure,8,305,nonSwitch
5,10,high-low,no,testPureHL,test,pure,2,306,nonSwitch
5,11,high-low,no,testPureHL,test,pure,9,305,nonSwitch
5,12,high-low,no,testPureHL,test,pure,1,306,nonSwitch
5,13,high-low,no,testPureHL,test,pure,4,306,nonSwitch
5,14,high-low,no,testPureHL,test,pure,6,305,nonSwitch
5,15,high-low,no,testPureHL,test,pure,7,305,nonSwitch
5,16,high-low,no,testPureHL,test,pure,2,306,nonSwitch
5,17,high-low,no,testPureHL,test,pure,4,306,nonSwitch
5,18,high-low,no,testPureHL,test,pure,9,305,nonSwitch
5,19,high-low,no,testPureHL,test,pure,3,306,nonSwitch
5,20,high-low,no,testPureHL,test,pure,8,305,nonSwitch
5,21,high-low,no,testPureHL,test,pure,4,306,nonSwitch
5,22,high-low,no,testPureHL,test,pure,9,305,nonSwitch
5,23,high-low,no,testPureHL,test,pure,8,305,nonSwitch
5,24,high-low,no,testPureHL,test,pure,2,306,nonSwitch
5,25,high-low,no,testPureHL,test,pure,4,306,nonSwitch
5,26,high-low,no,testPureHL,test,pure,8,305,nonSwitch
5,27,high-low,no,testPureHL,test,pure,1,306,nonSwitch
5,28,high-low,no,testPureHL,test,pure,4,306,nonSwitch
5,29,high-low,no,testPureHL,test,pure,8,305,nonSwitch
5,30,high-low,no,testPureHL,test,pure,1,306,nonSwitch
5,31,high-low,no,testPureHL,test,pure,7,305,nonSwitch
6,0,odd-even,yes,practiceMixedFeed,practice,mixed,3,306,nonSwitch
6,1,odd-even,yes,practiceMixedFeed,practice,mixed,1,306,nonSwitch
6,2,odd-even,yes,practiceMixedFeed,practice,mixed,4,305,nonSwitch
6,3,high-low,yes,practiceMixedFeed,practice,mixed,7,305,switch
6,4,high-low,yes,practiceMixedFeed,practice,mixed,8,305,nonSwitch
6,5,high-low,yes,practiceMixedFeed,practice,mixed,3,306,nonSwitch
6,6,odd-even,yes,practiceMixedFeed,practice,mixed,4,305,switch
6,7,odd-even,yes,practiceMixedFeed,practice,mixed,8,305,nonSwitch
6,8,odd-even,yes,practiceMixedFeed,practice,mixed,6,305,nonSwitch
6,9,high-low,yes,practiceMixedFeed,practice,mixed,2,306,switch
6,10,high-low,yes,practiceMixedFeed,practice,mixed,4,306,nonSwitch
6,11,high-low,yes,practiceMixedFeed,practice,mixed,9,305,nonSwitch
6,12,odd-even,yes,practiceMixedFeed,practice,mixed,8,305,switch
6,13,odd-even,yes,practiceMixedFeed,practice,mixed,6,305,nonSwitch
6,14,odd-even,yes,practiceMixedFeed,practice,mixed,7,306,nonSwitch
6,15,high-low,yes,practiceMixedFeed,practice,mixed,1,306,switch
6,16,high-low,yes,practiceMixedFeed,practice,mixed,6,305,nonSwitch
6,17,high-low,yes,practiceMixedFeed,practice,mixed,9,305,nonSwitch
6,18,odd-even,yes,practiceMixedFeed,practice,mixed,1,306,switch
6,19,odd-even,yes,practiceMixedFeed,practice,mixed,6,305,nonSwitch
6,20,odd-even,yes,practiceMixedFeed,practice,mixed,4,305,nonSwitch
6,21,high-low,yes,practiceMixedFeed,practice,mixed,7,305,switch
6,22,high-low,yes,practiceMixedFeed,practice,mixed,2,306,nonSwitch
6,23,high-low,yes,practiceMixedFeed,practice,mixed,8,305,nonSwitch
7,0,odd-even,no,practiceMixedNoFeed,practice,mixed,9,306,nonSwitch
7,1,odd-even,no,practiceMixedNoFeed,practice,mixed,6,305,nonSwitch
7,2,odd-even,no,practiceMixedNoFeed,practice,mixed,4,305,nonSwitch
7,3,high-low,no,practiceMixedNoFeed,practice,mixed,7,305,switch
7,4,high-low,no,practiceMixedNoFeed,practice,mixed,2,306,nonSwitch
7,5,high-low,no,practiceMixedNoFeed,practice,mixed,6,305,nonSwitch
7,6,odd-even,no,practiceMixedNoFeed,practice,mixed,4,305,switch
7,7,odd-even,no,practiceMixedNoFeed,practice,mixed,9,306,nonSwitch
7,8,odd-even,no,practiceMixedNoFeed,practice,mixed,8,305,nonSwitch
7,9,high-low,no,practiceMixedNoFeed,practice,mixed,4,306,switch
7,10,high-low,no,practiceMixedNoFeed,practice,mixed,7,305,nonSwitch
7,11,high-low,no,practiceMixedNoFeed,practice,mixed,9,305,nonSwitch
7,12,odd-even,no,practiceMixedNoFeed,practice,mixed,2,305,switch
